[ 2016-02-06T09:40:37+08:00 ] /pc_denglu.php?s=/Public/login | INFO: Tag[ app_init ] --START--
[ 2016-02-06T09:40:37+08:00 ] /pc_denglu.php?s=/Public/login | INFO: Run XSS Behavior [ RunTime:0.002000s ]
[ 2016-02-06T09:40:37+08:00 ] /pc_denglu.php?s=/Public/login | INFO: Tag[ app_init ] --END-- [ RunTime:0.002000s ]
[ 2016-02-06T09:40:37+08:00 ] /pc_denglu.php?s=/Public/login | INFO: Tag[ route_check ] --START--
[ 2016-02-06T09:40:37+08:00 ] /pc_denglu.php?s=/Public/login | INFO: Run CheckRoute Behavior [ RunTime:0.002000s ]
[ 2016-02-06T09:40:37+08:00 ] /pc_denglu.php?s=/Public/login | INFO: Tag[ route_check ] --END-- [ RunTime:0.002000s ]
[ 2016-02-06T09:40:37+08:00 ] /pc_denglu.php?s=/Public/login | INFO: Tag[ app_begin ] --START--
[ 2016-02-06T09:40:37+08:00 ] /pc_denglu.php?s=/Public/login | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002000s ]
[ 2016-02-06T09:40:37+08:00 ] /pc_denglu.php?s=/Public/login | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002000s ]
[ 2016-02-06T09:40:37+08:00 ] /pc_denglu.php?s=/Public/login | SQL: SHOW COLUMNS FROM `dms_loginrs` [ RunTime:0.025002s ]
[ 2016-02-06T09:40:37+08:00 ] /pc_denglu.php?s=/Public/login | SQL: SELECT * FROM `dms_loginrs` WHERE ( `ip` = '127.0.0.1' ) LIMIT 1   [ RunTime:0.001000s ]
[ 2016-02-06T09:40:37+08:00 ] /pc_denglu.php?s=/Public/login | SQL: SELECT a.id FROM yubicloud as a inner join (select id from admin where status=1) b on a.account_id=b.id WHERE ( `state` >= 1 ) AND ( (`endtime` >= 1454688000) OR (`endtime` = 0) ) LIMIT 1   [ RunTime:0.018001s ]
[ 2016-02-06T09:40:37+08:00 ] /pc_denglu.php?s=/Public/login | SQL: SHOW COLUMNS FROM `config` [ RunTime:0.022001s ]
[ 2016-02-06T09:40:37+08:00 ] /pc_denglu.php?s=/Public/login | SQL: SHOW COLUMNS FROM `admin` [ RunTime:0.021001s ]
[ 2016-02-06T09:40:37+08:00 ] /pc_denglu.php?s=/Public/login | SQL: SELECT * FROM `admin` WHERE ( `account` = 'admin' ) LIMIT 1   [ RunTime:0.001000s ]
[ 2016-02-06T09:40:37+08:00 ] /pc_denglu.php?s=/Public/login | SQL: SHOW COLUMNS FROM `admin` [ RunTime:0.020002s ]
