[ 2016-02-05T09:54:53+08:00 ] /index.php?s=/Admin/User/index&_=1454637293421 | INFO: Tag[ app_init ] --START--
[ 2016-02-05T09:54:53+08:00 ] /index.php?s=/Admin/User/index&_=1454637293421 | INFO: Run XSS Behavior [ RunTime:0.002000s ]
[ 2016-02-05T09:54:53+08:00 ] /index.php?s=/Admin/User/index&_=1454637293421 | INFO: Tag[ app_init ] --END-- [ RunTime:0.002000s ]
[ 2016-02-05T09:54:53+08:00 ] /index.php?s=/Admin/User/index&_=1454637293421 | INFO: Tag[ route_check ] --START--
[ 2016-02-05T09:54:53+08:00 ] /index.php?s=/Admin/User/index&_=1454637293421 | INFO: Run CheckRoute Behavior [ RunTime:0.002001s ]
[ 2016-02-05T09:54:53+08:00 ] /index.php?s=/Admin/User/index&_=1454637293421 | INFO: Tag[ route_check ] --END-- [ RunTime:0.003001s ]
[ 2016-02-05T09:54:53+08:00 ] /index.php?s=/Admin/User/index&_=1454637293421 | INFO: Tag[ app_begin ] --START--
[ 2016-02-05T09:54:53+08:00 ] /index.php?s=/Admin/User/index&_=1454637293421 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.003000s ]
[ 2016-02-05T09:54:53+08:00 ] /index.php?s=/Admin/User/index&_=1454637293421 | INFO: Run CheckLang Behavior [ RunTime:0.027002s ]
[ 2016-02-05T09:54:53+08:00 ] /index.php?s=/Admin/User/index&_=1454637293421 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.030002s ]
[ 2016-02-05T09:54:53+08:00 ] /index.php?s=/Admin/User/index&_=1454637293421 | SQL: SHOW COLUMNS FROM `config` [ RunTime:0.020001s ]
[ 2016-02-05T09:54:53+08:00 ] /index.php?s=/Admin/User/index&_=1454637293421 | SQL: SELECT * FROM `config` WHERE ( `name` = 'DIFFTIME' ) LIMIT 1   FOR UPDATE  [ RunTime:0.001000s ]
[ 2016-02-05T09:54:53+08:00 ] /index.php?s=/Admin/User/index&_=1454637293421 | SQL: SHOW COLUMNS FROM `dms_会员` [ RunTime:0.108006s ]
[ 2016-02-05T09:54:53+08:00 ] /index.php?s=/Admin/User/index&_=1454637293421 | SQL: SHOW COLUMNS FROM `xtable_set` [ RunTime:0.036002s ]
[ 2016-02-05T09:54:53+08:00 ] /index.php?s=/Admin/User/index&_=1454637293421 | SQL: SELECT * FROM `xtable_set` WHERE 地址='/index.php?s=/Admin/User/index' LIMIT 1   [ RunTime:0.006000s ]
