[ 2016-02-06T09:40:31+08:00 ] / | INFO: Tag[ app_init ] --START--
[ 2016-02-06T09:40:31+08:00 ] / | INFO: Run XSS Behavior [ RunTime:0.003000s ]
[ 2016-02-06T09:40:31+08:00 ] / | INFO: Tag[ app_init ] --END-- [ RunTime:0.004000s ]
[ 2016-02-06T09:40:31+08:00 ] / | INFO: Tag[ route_check ] --START--
[ 2016-02-06T09:40:31+08:00 ] / | INFO: Run CheckRoute Behavior [ RunTime:0.004000s ]
[ 2016-02-06T09:40:31+08:00 ] / | INFO: Tag[ route_check ] --END-- [ RunTime:0.004000s ]
[ 2016-02-06T09:40:31+08:00 ] / | INFO: Tag[ app_begin ] --START--
[ 2016-02-06T09:40:31+08:00 ] / | INFO: Run ReadHtmlCache Behavior [ RunTime:0.003001s ]
[ 2016-02-06T09:40:31+08:00 ] / | INFO: Run CheckLang Behavior [ RunTime:0.019001s ]
[ 2016-02-06T09:40:31+08:00 ] / | INFO: Tag[ app_begin ] --END-- [ RunTime:0.022002s ]
[ 2016-02-06T09:40:32+08:00 ] / | SQL: SHOW COLUMNS FROM `dms_会员` [ RunTime:0.125007s ]
[ 2016-02-06T09:40:32+08:00 ] / | SQL: SELECT COUNT(*) AS tp_count FROM `dms_会员` LIMIT 1   [ RunTime:0.001000s ]
[ 2016-02-06T09:40:32+08:00 ] / | INFO: Tag[ view_template ] --START--
[ 2016-02-06T09:40:32+08:00 ] / | INFO: Run LocationTemplate Behavior [ RunTime:0.005000s ]
[ 2016-02-06T09:40:32+08:00 ] / | INFO: Tag[ view_template ] --END-- [ RunTime:0.005000s ]
[ 2016-02-06T09:40:32+08:00 ] / | INFO: Tag[ view_parse ] --START--
[ 2016-02-06T09:40:32+08:00 ] / | INFO: Run ParseTemplate Behavior [ RunTime:0.046002s ]
[ 2016-02-06T09:40:32+08:00 ] / | INFO: Tag[ view_parse ] --END-- [ RunTime:0.046002s ]
[ 2016-02-06T09:40:32+08:00 ] / | INFO: Tag[ view_filter ] --START--
[ 2016-02-06T09:40:32+08:00 ] / | INFO: Run ContentReplace Behavior [ RunTime:0.002000s ]
[ 2016-02-06T09:40:32+08:00 ] / | INFO: Run TokenBuild Behavior [ RunTime:0.003000s ]
[ 2016-02-06T09:40:32+08:00 ] / | INFO: Run WriteHtmlCache Behavior [ RunTime:0.002000s ]
[ 2016-02-06T09:40:32+08:00 ] / | INFO: Run ShowRuntime Behavior [ RunTime:0.003000s ]
[ 2016-02-06T09:40:32+08:00 ] / | INFO: Tag[ view_filter ] --END-- [ RunTime:0.010000s ]
[ 2016-02-06T09:40:32+08:00 ] / | INFO: Tag[ view_end ] --START--
[ 2016-02-06T09:40:32+08:00 ] / | INFO: Run ShowPageTrace Behavior [ RunTime:0.003000s ]
[ 2016-02-06T09:40:32+08:00 ] / | INFO: Tag[ view_end ] --END-- [ RunTime:0.003000s ]
[ 2016-02-06T09:40:32+08:00 ] / | INFO: Tag[ app_end ] --START--
[ 2016-02-06T09:40:32+08:00 ] / | INFO: Run SaveConfig Behavior [ RunTime:0.010001s ]
[ 2016-02-06T09:40:32+08:00 ] / | INFO: Tag[ app_end ] --END-- [ RunTime:0.011001s ]
[ 2016-02-06T09:40:41+08:00 ] /index.php?s=/Admin/User/index&_=1454722841624 | INFO: Tag[ app_init ] --START--
[ 2016-02-06T09:40:41+08:00 ] /index.php?s=/Admin/User/index&_=1454722841624 | INFO: Run XSS Behavior [ RunTime:0.004001s ]
[ 2016-02-06T09:40:41+08:00 ] /index.php?s=/Admin/User/index&_=1454722841624 | INFO: Tag[ app_init ] --END-- [ RunTime:0.004001s ]
[ 2016-02-06T09:40:41+08:00 ] /index.php?s=/Admin/User/index&_=1454722841624 | INFO: Tag[ route_check ] --START--
