[ 2016-02-05T15:25:15+08:00 ] /xsinst.php | INFO: Tag[ app_init ] --START--
[ 2016-02-05T15:25:15+08:00 ] /xsinst.php | INFO: Run XSS Behavior [ RunTime:0.003001s ]
[ 2016-02-05T15:25:15+08:00 ] /xsinst.php | INFO: Tag[ app_init ] --END-- [ RunTime:0.003001s ]
[ 2016-02-05T15:25:15+08:00 ] /xsinst.php | INFO: Tag[ app_begin ] --START--
[ 2016-02-05T15:25:15+08:00 ] /xsinst.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.003000s ]
[ 2016-02-05T15:25:15+08:00 ] /xsinst.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.004000s ]
[ 2016-02-05T15:25:15+08:00 ] /xsinst.php | INFO: Tag[ app_end ] --START--
[ 2016-02-05T15:25:15+08:00 ] /xsinst.php | INFO: Run SaveConfig Behavior [ RunTime:0.003001s ]
[ 2016-02-05T15:25:15+08:00 ] /xsinst.php | INFO: Tag[ app_end ] --END-- [ RunTime:0.003001s ]
[ 2016-02-05T15:25:15+08:00 ] /xsinst.php?s=/Install/index | INFO: Tag[ app_init ] --START--
[ 2016-02-05T15:25:15+08:00 ] /xsinst.php?s=/Install/index | INFO: Run XSS Behavior [ RunTime:0.003001s ]
[ 2016-02-05T15:25:15+08:00 ] /xsinst.php?s=/Install/index | INFO: Tag[ app_init ] --END-- [ RunTime:0.003001s ]
[ 2016-02-05T15:25:15+08:00 ] /xsinst.php?s=/Install/index | INFO: Tag[ route_check ] --START--
[ 2016-02-05T15:25:15+08:00 ] /xsinst.php?s=/Install/index | INFO: Run CheckRoute Behavior [ RunTime:0.003000s ]
[ 2016-02-05T15:25:15+08:00 ] /xsinst.php?s=/Install/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.004000s ]
[ 2016-02-05T15:25:15+08:00 ] /xsinst.php?s=/Install/index | INFO: Tag[ app_begin ] --START--
[ 2016-02-05T15:25:15+08:00 ] /xsinst.php?s=/Install/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.004000s ]
[ 2016-02-05T15:25:15+08:00 ] /xsinst.php?s=/Install/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.004000s ]
[ 2016-02-05T15:25:15+08:00 ] /xsinst.php?s=/Install/index | INFO: Tag[ view_template ] --START--
[ 2016-02-05T15:25:15+08:00 ] /xsinst.php?s=/Install/index | INFO: Run LocationTemplate Behavior [ RunTime:0.006001s ]
[ 2016-02-05T15:25:15+08:00 ] /xsinst.php?s=/Install/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.006001s ]
[ 2016-02-05T15:25:15+08:00 ] /xsinst.php?s=/Install/index | INFO: Tag[ view_parse ] --START--
[ 2016-02-05T15:25:15+08:00 ] /xsinst.php?s=/Install/index | INFO: Run ParseTemplate Behavior [ RunTime:0.054003s ]
[ 2016-02-05T15:25:15+08:00 ] /xsinst.php?s=/Install/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.054003s ]
[ 2016-02-05T15:25:15+08:00 ] /xsinst.php?s=/Install/index | INFO: Tag[ view_filter ] --START--
[ 2016-02-05T15:25:15+08:00 ] /xsinst.php?s=/Install/index | INFO: Run ContentReplace Behavior [ RunTime:0.004000s ]
[ 2016-02-05T15:25:15+08:00 ] /xsinst.php?s=/Install/index | INFO: Run TokenBuild Behavior [ RunTime:0.003000s ]
[ 2016-02-05T15:25:15+08:00 ] /xsinst.php?s=/Install/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.002000s ]
[ 2016-02-05T15:25:15+08:00 ] /xsinst.php?s=/Install/index | INFO: Run ShowRuntime Behavior [ RunTime:0.004000s ]
[ 2016-02-05T15:25:15+08:00 ] /xsinst.php?s=/Install/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.014000s ]
[ 2016-02-05T15:25:15+08:00 ] /xsinst.php?s=/Install/index | INFO: Tag[ view_end ] --START--
[ 2016-02-05T15:25:15+08:00 ] /xsinst.php?s=/Install/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.004001s ]
[ 2016-02-05T15:25:15+08:00 ] /xsinst.php?s=/Install/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.004001s ]
[ 2016-02-05T15:25:15+08:00 ] /xsinst.php?s=/Install/index | INFO: Tag[ app_end ] --START--
[ 2016-02-05T15:25:15+08:00 ] /xsinst.php?s=/Install/index | INFO: Run SaveConfig Behavior [ RunTime:0.003000s ]
[ 2016-02-05T15:25:15+08:00 ] /xsinst.php?s=/Install/index | INFO: Tag[ app_end ] --END-- [ RunTime:0.003000s ]
[ 2016-02-05T15:25:15+08:00 ] /xsinst.php?s=/Install/setup/lang/zh_cn&1454657115401401 | INFO: Tag[ app_init ] --START--
